code,industry_id,date,last_updated
000761,C020203,1998-01-15 00:00:00.000000,2017-12-15 08:40:47.919811
000762,C020204,1997-07-08 00:00:00.000000,2017-12-15 08:40:47.919811
000778,C020203,1997-06-06 00:00:00.000000,2017-12-15 08:40:47.919811
000782,C020104,1997-06-19 00:00:00.000000,2017-12-15 08:40:47.919811
000786,C020201,1997-06-06 00:00:00.000000,2017-12-15 08:40:47.919811
000789,C020201,1997-09-23 00:00:00.000000,2017-12-15 08:40:47.919811
000791,C020102,1997-10-14 00:00:00.000000,2017-12-15 08:40:47.919811
000792,C020103,1997-09-04 00:00:00.000000,2017-12-15 08:40:47.919811
000795,C020205,1997-08-08 00:00:00.000000,2017-12-15 08:40:47.919811
000807,C020204,1998-04-08 00:00:00.000000,2017-12-15 08:40:47.919811
000815,C020206,1998-06-09 00:00:00.000000,2017-12-15 08:40:47.919811
000818,C020101,1997-10-17 00:00:00.000000,2017-12-15 08:40:47.919811
000819,C020101,1997-06-25 00:00:00.000000,2017-12-15 08:40:47.919811
000820,C020206,1998-06-30 00:00:00.000000,2017-12-15 08:40:47.919811
000822,C020101,1998-07-03 00:00:00.000000,2017-12-15 08:40:47.919811
000825,C020203,1998-10-21 00:00:00.000000,2017-12-15 08:40:47.919811
000830,C020103,1998-08-07 00:00:00.000000,2017-12-15 08:40:47.919811
000831,C020204,1998-09-11 00:00:00.000000,2017-12-15 08:40:47.919811
000833,C020206,1998-11-11 00:00:00.000000,2017-12-15 08:40:47.919811
000859,C020102,1998-11-19 00:00:00.000000,2017-12-15 08:40:47.919811
000877,C020201,1999-01-07 00:00:00.000000,2017-12-15 08:40:47.919811
000878,C020204,1998-06-02 00:00:00.000000,2017-12-15 08:40:47.919811
000885,C020201,1999-03-19 00:00:00.000000,2017-12-15 08:40:47.919811
000890,C020203,1999-01-19 00:00:00.000000,2017-12-15 08:40:47.919811
000898,C020203,1997-12-25 00:00:00.000000,2017-12-15 08:40:47.919811
000910,C020206,1999-06-30 00:00:00.000000,2017-12-15 08:40:47.919811
000912,C020103,1999-06-03 00:00:00.000000,2017-12-15 08:40:47.919811
000928,C020205,1999-03-12 00:00:00.000000,2017-12-15 08:40:47.919811
000932,C020203,1999-08-03 00:00:00.000000,2017-12-15 08:40:47.919811
000933,C020204,1999-08-31 00:00:00.000000,2017-12-15 08:40:47.919811
000935,C020201,1999-08-24 00:00:00.000000,2017-12-15 08:40:47.919811
000936,C020104,1999-08-10 00:00:00.000000,2017-12-15 08:40:47.919811
000949,C020104,1999-10-21 00:00:00.000000,2017-12-15 08:40:47.919811
000950,C020103,1999-09-16 00:00:00.000000,2017-12-15 08:40:47.919811
000953,C020103,1999-12-02 00:00:00.000000,2017-12-15 08:40:47.919811
000959,C020203,1999-12-16 00:00:00.000000,2017-12-15 08:40:47.919811
000960,C020204,2000-02-21 00:00:00.000000,2017-12-15 08:40:47.919811
000962,C020204,2000-01-20 00:00:00.000000,2017-12-15 08:40:47.919811
000969,C020204,2000-05-29 00:00:00.000000,2017-12-15 08:40:47.919811
000973,C020102,2000-05-25 00:00:00.000000,2017-12-15 08:40:47.919811
000976,C020104,2000-06-01 00:00:00.000000,2017-12-15 08:40:47.919811
000985,C020101,2000-07-26 00:00:00.000000,2017-12-15 08:40:47.919811
002002,C020102,2004-06-25 00:00:00.000000,2017-12-15 08:40:47.919811
002010,C020102,2004-06-29 00:00:00.000000,2017-12-15 08:40:47.919811
002012,C020206,2004-07-05 00:00:00.000000,2017-12-15 08:40:47.919811
002014,C020202,2004-07-08 00:00:00.000000,2017-12-15 08:40:47.919811
002018,C020103,2004-07-13 00:00:00.000000,2017-12-15 08:40:47.919811
002037,C020102,2004-09-08 00:00:00.000000,2017-12-15 08:40:47.919811
002043,C020206,2005-05-10 00:00:00.000000,2017-12-15 08:40:47.919811
002053,C020101,2006-06-27 00:00:00.000000,2017-12-15 08:40:47.919811
002054,C020101,2006-07-25 00:00:00.000000,2017-12-15 08:40:47.919811
002057,C020102,2006-08-02 00:00:00.000000,2017-12-15 08:40:47.919811
002061,C020101,2006-08-16 00:00:00.000000,2017-12-15 08:40:47.919811
002064,C020104,2006-08-23 00:00:00.000000,2017-12-15 08:40:47.919811
002066,C020205,2006-08-23 00:00:00.000000,2017-12-15 08:40:47.919811
002067,C020206,2006-09-15 00:00:00.000000,2017-12-15 08:40:47.919811
002068,C020101,2006-09-15 00:00:00.000000,2017-12-15 08:40:47.919811
002075,C020203,2006-10-25 00:00:00.000000,2017-12-15 08:40:47.919811
002078,C020206,2006-11-16 00:00:00.000000,2017-12-15 08:40:47.919811
002080,C020104,2006-11-20 00:00:00.000000,2017-12-15 08:40:47.919811
002082,C020204,2006-11-20 00:00:00.000000,2017-12-15 08:40:47.919811
002088,C020205,2006-11-30 00:00:00.000000,2017-12-15 08:40:47.919811
002092,C020101,2006-12-08 00:00:00.000000,2017-12-15 08:40:47.919811
002096,C020102,2006-12-22 00:00:00.000000,2017-12-15 08:40:47.919811
002103,C020206,2007-01-10 00:00:00.000000,2017-12-15 08:40:47.919811
002108,C020102,2007-01-24 00:00:00.000000,2017-12-15 08:40:47.919811
002109,C020101,2007-01-26 00:00:00.000000,2017-12-15 08:40:47.919811
002110,C020203,2007-01-26 00:00:00.000000,2017-12-15 08:40:47.919811
002113,C020103,2007-02-08 00:00:00.000000,2017-12-15 08:40:47.919811
002114,C020204,2007-02-15 00:00:00.000000,2017-12-15 08:40:47.919811
002125,C020101,2007-04-03 00:00:00.000000,2017-12-15 08:40:47.919811
002127,C020104,2007-04-18 00:00:00.000000,2017-12-15 08:40:47.919811
002132,C020203,2007-04-27 00:00:00.000000,2017-12-15 08:40:47.919811
002136,C020101,2007-05-30 00:00:00.000000,2017-12-15 08:40:47.919811
002145,C020101,2007-08-03 00:00:00.000000,2017-12-15 08:40:47.919811
002149,C020204,2007-08-10 00:00:00.000000,2017-12-15 08:40:47.919811
002150,C020202,2007-08-10 00:00:00.000000,2017-12-15 08:40:47.919811
002155,C020204,2007-08-16 00:00:00.000000,2017-12-15 08:40:47.919811
002160,C020204,2007-08-21 00:00:00.000000,2017-12-15 08:40:47.919811
002165,C020101,2007-09-13 00:00:00.000000,2017-12-15 08:40:47.919811
002167,C020204,2007-09-13 00:00:00.000000,2017-12-15 08:40:47.919811
