基金简称,持仓市值(万元),持仓股数(万股),与上期持仓股数变化(万股),占基金净值比例,占流通股比例
泰康泉林量化价值精选混合C,211,3.8,新进,0.29%,0.00%
南方兴盛先锋灵活配置混合,277,5.0,新进,0.64%,0.00%
泰达宏利启富混合C,88,1.58,新进,0.46%,0.00%
前海开源沪港深创新成长混合A,998,18.0,新进,2.82%,0.00%
农银高增长混合,431,7.78,新进,1.00%,0.00%
南方利淘混合C,107,1.92,新进,0.17%,0.00%
民生加银养老服务混合,83,1.5,新进,1.48%,0.00%
泰达睿选稳健混合,101,1.83,新进,1.21%,0.00%
招商沪深300高贝塔指数分级B,22,0.39,新进,1.11%,0.00%
万家瑞旭混合C,72,1.3,新进,0.73%,0.00%
银华汇利灵活配置混合A,305,5.5,新进,0.24%,0.00%
大摩量化配置混合,1421,25.64,新进,1.11%,0.00%
新华华荣灵活配置混合,0,0.01,新进,0.00%,0.00%
招商沪深300高贝塔指数分级A,22,0.39,新进,1.11%,0.00%
中欧双利债券C,333,6.0,新进,0.32%,0.00%
泰达宏利风险预算混合,116,2.1,新进,0.60%,0.00%
信达澳银新财富混合,277,5.0,新进,1.40%,0.00%
兴银收益增强债券,6,0.1,新进,0.10%,0.00%
南方宝元债券,554,10.0,新进,0.33%,0.00%
易方达裕鑫债券A,0,0.01,新进,0.00%,0.00%
中融鑫思路混合C,9,0.17,新进,0.07%,0.00%
易方达裕鑫债券C,0,0.01,新进,0.00%,0.00%
信诚至鑫混合A,178,3.22,新进,0.37%,0.00%
信诚至鑫混合C,178,3.22,新进,0.37%,0.00%
南方稳健成长贰号混合,3969,71.6,新进,2.05%,0.01%
易方达裕惠定开混合发起式,0,0.0,新进,0.00%,0.00%
招商盛合灵活混合A,23,0.42,新进,0.37%,0.00%
兴业聚全灵活配置混合,83,1.5,新进,0.06%,0.00%
兴业聚源灵活配置混合,83,1.5,新进,0.06%,0.00%
浦银沪港深基本面100指数(LOF),49,0.88,新进,0.94%,0.00%
中融鑫思路混合A,9,0.17,新进,0.07%,0.00%
中银优秀企业混合,42,0.75,新进,1.00%,0.00%
招商丰盛稳定增长混合A,53,0.95,新进,0.29%,0.00%
